"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 08:17:09 GMT 2025","Wed Oct 29 08:17:13 GMT 2025","3898","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Wed Oct 29 08:16:59 GMT 2025","Wed Oct 29 08:17:16 GMT 2025","17531","","iteration2.api.DepositMoneyTest","","iteration2.api.DepositMoneyTest","userCanDepositMoneyTest","userCanDepositMoneyTest()",""
"passed","Wed Oct 29 08:16:59 GMT 2025","Wed Oct 29 08:17:17 GMT 2025","18361","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyToNonExistentAccountTest","userCannotTransferMoneyToNonExistentAccountTest()",""
"passed","Wed Oct 29 08:17:16 GMT 2025","Wed Oct 29 08:17:20 GMT 2025","3150","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [9] kate1998, Ab123456, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Wed Oct 29 08:17:07 GMT 2025","Wed Oct 29 08:17:23 GMT 2025","16431","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyTest","userCannotDepositMoneyTest()",""
"passed","Wed Oct 29 08:17:13 GMT 2025","Wed Oct 29 08:17:28 GMT 2025","15038","","iteration1.ui.LoginUserTest","","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest","userCanLoginWithCorrectDataTest()",""
"passed","Wed Oct 29 08:17:13 GMT 2025","Wed Oct 29 08:17:20 GMT 2025","7211","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [1]    , Kate1998$, USER, username, Username cannot be blank",""
"passed","Wed Oct 29 08:17:15 GMT 2025","Wed Oct 29 08:17:20 GMT 2025","4916","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [4] Ak1234.-_@, Kate1998$, USER, username, Username must contain only letters, digits, dashes, underscores, and dots",""
"passed","Wed Oct 29 08:16:59 GMT 2025","Wed Oct 29 08:17:21 GMT 2025","22287","","iteration2.ui.TransferMoneyTest","","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest","userCanTransferMoneyTest()",""
"passed","Wed Oct 29 08:17:00 GMT 2025","Wed Oct 29 08:17:12 GMT 2025","12259","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAccountFieldTest","userCannotDepositMoneyWithBlankAccountFieldTest()",""
"passed","Wed Oct 29 08:17:06 GMT 2025","Wed Oct 29 08:17:23 GMT 2025","16875","","iteration2.ui.DepositMoneyTest","","iteration2.ui.DepositMoneyTest","userCanDepositMoneyEdgeCaseTest","userCanDepositMoneyEdgeCaseTest()",""
"passed","Wed Oct 29 08:17:16 GMT 2025","Wed Oct 29 08:17:20 GMT 2025","4131","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [7] kate1998, Ab12 3!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Wed Oct 29 08:17:15 GMT 2025","Wed Oct 29 08:17:19 GMT 2025","4279","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [5] kate1998, , USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Wed Oct 29 08:16:59 GMT 2025","Wed Oct 29 08:17:15 GMT 2025","15702","","iteration2.ui.ChangeNameTest","","iteration2.ui.ChangeNameTest","userCanChangeItsNameTest","userCanChangeItsNameTest()",""
"passed","Wed Oct 29 08:17:06 GMT 2025","Wed Oct 29 08:17:15 GMT 2025","9185","","iteration1.ui.CreateUserTest","","iteration1.ui.CreateUserTest","adminCannotCreateUserTest","adminCannotCreateUserTest()",""
"passed","Wed Oct 29 08:17:06 GMT 2025","Wed Oct 29 08:17:09 GMT 2025","2429","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
"broken","Wed Oct 29 08:17:07 GMT 2025","Wed Oct 29 08:17:18 GMT 2025","11395","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyWithBlankFieldsTest","userCannotTransferMoneyWithBlankFieldsTest()",""
"passed","Wed Oct 29 08:16:59 GMT 2025","Wed Oct 29 08:17:13 GMT 2025","13868","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAmountFieldTest","userCannotDepositMoneyWithBlankAmountFieldTest()",""
